,0
וְצָרִיךְ,וצריך
לְהָבִין,להבין
דְּהָא,דהא
תְּנַן,תנן
אָבוֹת,אבות
פֶּרֶק,פרק
ב',ב'
תְּהִי,תהי
רָשָׁע,רשע
בִּפְנֵי,בפני
וְגַם,וגם
אִם,אם
יִהְיֶה,יהיה
בְּעֵינָיו,בעיניו
כְּרָשָׁע,כרשע
יֵרַע,ירע
לְבָבוֹ,לבבו
וְיִהְיֶה,ויהיה
עָצֵב,עצב
וְלֹא,ולא
יוּכַל,יוכל
לַעֲבֹד,לעבוד
ה',ה'
בְּשִׂמְחָה,בשמחה
וּבְטוּב,ובטוב
לֵבָב,לבב
וְאִם,ואם
לֹא,לא
כְּלָל,כלל
מִזֶּה,מזה
יָכוֹל,יכול
לָבוֹא,לבוא
לִידֵי,לידי
קַלּוּת,קלות
חַס,חס
וְשָׁלוֹם,ושלום
אַךְ,אך
הָעִנְיָן,הענין
כִּי,כי
הִנֵּה,הנה
מָצִינוּ,מצינו
בִּגְמָרָא,בגמרא
חָמֵשׁ,חמש
חֲלֻקּוֹת,חלוקות
צַדִּיק,צדיק
וְטוֹב,וטוב
לוֹ,לו
וְרַע,ורע
וּבֵינוֹנִי,ובינוני
וּפֵרְשׁוּ,ופירשו
גָּמוּר,גמור
שֶׁאֵינוֹ,שאינו
וּבְרַעְיָא,וברעיא
מְהֵימְנָא,מהימנא
פָּרָשַׁת,פרשת
מִשְׁפָּטִים,משפטים
פֵּרֵשׁ,פירש
שֶׁהָרַע,שהרע
שֶׁבּוֹ,שבו
כָּפוּף,כפוף
לַטּוֹב,לטוב
וכו',וכו'
וּבִגְמָרָא,ובגמרא
סוֹף,סוף
דִּבְרָכוֹת,דברכות
יֵצֶר,יצר
טוֹב,טוב
שׁוֹפְטָן,שופטן
כו',כו'
רְשָׁעִים,רשעים
הָרַע,הרע
בֵּינוֹנִים,בינונים
זֶה,זה
וְזֶה,וזה
אָמַר,אמר
רַבָּה,רבה
אֲנָא,אנא
לֵהּ,ליה
אַבַּיֵי,אביי
שָׁבֵק,שביק
מַר,מר
חַיֵּי,חיי
לְכָל,לכל
וּלְהָבִין,ולהבין
כָּל,כל
בַּאֵר,באר
הֵיטֵב,היטב
מַה,מה
שֶּׁאָמַר,שאמר
אִיּוֹב,איוב
בָּבָא,בבא
בַּתְרָא,בתרא
שֶׁל,של
עוֹלָם,עולם
בָּרָאתָ,בראת
צַדִּיקִים,צדיקים
וְהָא,והא
וְרָשָׁע,ורשע
לָא,לא
קָאָמַר,קאמר
מַהוּת,מהות
מַדְרֵגַת,מדרגת
הַבֵּינוֹנִי,הבינוני
שֶׁבְּוַדַּאי,שבודאי
אֵינוֹ,אינו
מֶחֱצָה,מחצה
זְכֻיּוֹת,זכויות
וּמֶחֱצָה,ומחצה
עֲוֹנוֹת,עוונות
שֶׁאִם,שאם
כֵּן,כן
אֵיךְ,איך
טָעָה,טעה
בְּעַצְמוֹ,בעצמו
לוֹמַר,לומר
שֶׁהוּא,שהוא
בֵּינוֹנִי,בינוני
וְנוֹדַע,ונודע
דְּלָא,דלא
פָּסֵיק,פסיק
פֻּמֵּהּ,פומיה
מִגִּירְסָא,מגירסא
עַד,עד
